fuente,duracion_min,periodo_retorno_anios,metodo,intensidad_mm_h,intensidad_estacion_mm_h,diferencia_vs_estacion_pct
estacion,30,25,Gumbel,66.89128362600813,66.89128362600813,0.0
imerg,30,25,Gumbel,47.80213420984661,66.89128362600813,-28.53757377850562
cmorph,60,25,Gumbel,40.081305193570394,41.99863559698491,-4.565220693865024
estacion,60,25,Gumbel,41.99863559698491,41.99863559698491,0.0
imerg,60,25,Gumbel,33.80691836056798,41.99863559698491,-19.504722284371113
cmorph,120,25,Gumbel,30.820555590313404,28.820342323502018,6.940282819542637
estacion,120,25,Gumbel,28.820342323502018,28.820342323502018,0.0
imerg,120,25,Gumbel,26.087046870957206,28.820342323502018,-9.483910433346594
cmorph,360,25,Gumbel,17.09886186173094,10.891624399686096,56.99092471664502
estacion,360,25,Gumbel,10.891624399686096,10.891624399686096,0.0
imerg,360,25,Gumbel,12.000899813252701,10.891624399686096,10.184664590513929
cmorph,1440,25,Gumbel,5.00670598968658,3.6022394077405906,38.988707383746714
estacion,1440,25,Gumbel,3.6022394077405906,3.6022394077405906,0.0
imerg,1440,25,Gumbel,4.201232297634518,3.6022394077405906,16.628347594188078
cmorph,30,2,Weibull empírico,32.13126820667437,55.28634478068208,-41.882089810535746
estacion,30,2,Weibull empírico,55.28634478068208,55.28634478068208,0.0
imerg,30,2,Weibull empírico,23.89543429865863,55.28634478068208,-56.77877712217996
cmorph,60,2,Weibull empírico,21.963006220963706,32.64772413011369,-32.72729782501006
estacion,60,2,Weibull empírico,32.64772413011369,32.64772413011369,0.0
imerg,60,2,Weibull empírico,19.56508861240409,32.64772413011369,-40.072121001667014
cmorph,120,2,Weibull empírico,15.20368247124863,17.819310325284196,-14.678614414858673
estacion,120,2,Weibull empírico,17.819310325284196,17.819310325284196,0.0
imerg,120,2,Weibull empírico,15.950320308267704,17.819310325284196,-10.488565398429266
cmorph,360,2,Weibull empírico,8.357907782433301,7.813632173484904,6.965718335134385
estacion,360,2,Weibull empírico,7.813632173484904,7.813632173484904,0.0
imerg,360,2,Weibull empírico,7.788436516674044,7.813632173484904,-0.32245767719089674
cmorph,1440,2,Weibull empírico,3.04805626211973,2.6252816030066612,16.103973708149123
estacion,1440,2,Weibull empírico,2.6252816030066612,2.6252816030066612,0.0
imerg,1440,2,Weibull empírico,2.8683861071008354,2.6252816030066612,9.260130563355695
cmorph,30,10,Weibull empírico,74.89089288489492,63.30498731450026,18.30172639137528
estacion,30,10,Weibull empírico,63.30498731450026,63.30498731450026,0.0
imerg,30,10,Weibull empírico,49.31668801383212,63.30498731450026,-22.0966781513975
cmorph,60,10,Weibull empírico,39.15530289778144,39.78999718100007,-1.5951101487428565
estacion,60,10,Weibull empírico,39.78999718100007,39.78999718100007,0.0
imerg,60,10,Weibull empírico,31.569744382524746,39.78999718100007,-20.659093694031565
cmorph,120,10,Weibull empírico,31.510255967505344,30.114961943500706,4.633225260660723
estacion,120,10,Weibull empírico,30.114961943500706,30.114961943500706,0.0
imerg,120,10,Weibull empírico,25.660065429648707,30.114961943500706,-14.79296743661812
cmorph,360,10,Weibull empírico,18.25681139691126,10.423743774708448,75.14639453445221
estacion,360,10,Weibull empírico,10.423743774708448,10.423743774708448,0.0
imerg,360,10,Weibull empírico,10.78566331751628,10.423743774708448,3.4720686792587037
cmorph,1440,10,Weibull empírico,4.761950100023705,3.3363013051718893,42.731416153624785
estacion,1440,10,Weibull empírico,3.3363013051718893,3.3363013051718893,0.0
imerg,1440,10,Weibull empírico,3.7670866326630885,3.3363013051718893,12.912063032898189
cmorph,30,25,Weibull empírico,,,
estacion,30,25,Weibull empírico,,,
imerg,30,25,Weibull empírico,,,
cmorph,60,25,Weibull empírico,,,
estacion,60,25,Weibull empírico,,,
imerg,60,25,Weibull empírico,,,
cmorph,120,25,Weibull empírico,,,
estacion,120,25,Weibull empírico,,,
imerg,120,25,Weibull empírico,,,
cmorph,360,25,Weibull empírico,,,
estacion,360,25,Weibull empírico,,,
