fecha,estacion_mm,imerg_mm,cmorph_mm,estacion_anomalia_mm,estacion_climatologia_mm,imerg_anomalia_mm,imerg_climatologia_mm,cmorph_anomalia_mm,cmorph_climatologia_mm
2016-05,104.0,89.40999781827,72.479998535,-7.855555555555554,111.85555555555555,-24.947499630685996,114.357497448956,-25.136999873500002,97.6169984085
2016-06,122.0,94.14499808598,102.32499826,26.611111111111114,95.38888888888889,-20.027999312195988,114.172997398176,-15.953999646699984,118.27899790669998
2016-07,139.4,168.38499588479,172.054998107,44.522222222222226,94.87777777777778,39.94149897569699,128.443496909093,52.572500089599984,119.4824980174
2016-08,98.8,159.61499621952998,126.484996009,24.789999999999992,74.01,64.35949847523699,95.255497744293,42.5079975676,83.9769984414
2016-09,88.8,95.10499783367,83.88499877,11.08999999999999,77.71000000000001,20.75999973642199,74.34499809724801,14.944999929199994,68.9399988408
2016-10,43.0,59.24999863569,52.41499877,-36.94,79.94,-22.125499531307007,81.375498166997,-18.740999959000007,71.155998729
2016-11,81.9,83.04999776743,81.44499864,15.200000000000003,66.7,5.592499382127997,77.457498385302,11.886499669499997,69.5584989705
2016-12,33.4,35.18999913449,22.0,-29.188888888888883,62.58888888888888,-45.436998927447995,80.626998061938,-45.6159991225,67.6159991225
2017-01,79.7,86.45499783719,42.094999275,15.5625,64.1375,14.034499565073006,72.420498272117,8.433499769,33.661499506
2017-02,11.6,21.55499970239,11.364999954999998,-32.22222222222222,43.82222222222222,-40.872498997929995,62.427498700319994,-23.262499564000006,34.627499519000004
2017-03,67.30000000000001,83.72499898383,31.59499978,-16.177777777777763,83.47777777777777,-17.038998689007997,100.763997672838,-43.55649924900001,75.15149902900001
2017-04,132.9,185.45499532319,172.48999773,42.633333333333326,90.26666666666668,79.511997855784,105.94299746740599,72.27749923649999,100.21249849350001
2017-05,148.9,160.18499661077,92.719998665,37.04444444444445,111.85555555555555,45.82749916181402,114.357497448956,-4.89699974349999,97.6169984085
2017-06,48.8,68.7749984503,50.339999467,-46.58888888888889,95.38888888888889,-45.39799894787599,114.172997398176,-67.93899843969999,118.27899790669998
2017-07,62.9,95.80499777799,96.424997989,-31.97777777777778,94.87777777777778,-32.638499131103,128.443496909093,-23.0575000284,119.4824980174
2017-08,59.6,57.26499867603,35.724999289,-14.410000000000004,74.01,-37.990499068263,95.255497744293,-48.251999152399996,83.9769984414
2017-09,7.4,14.97999982571,30.659999668,-70.31,77.71000000000001,-59.36499827153801,74.34499809724801,-38.279999172800004,68.9399988408
2017-10,168.79999999999998,153.52999628692,137.909996825,88.85999999999999,79.94,72.154498119923,81.375498166997,66.753998096,71.155998729
2017-11,79.3,73.18999880996,69.21499857500001,12.599999999999994,66.7,-4.267499575342001,77.457498385302,-0.3435003954999871,69.5584989705
2017-12,2.9,20.7549996281,2.81,-59.68888888888888,62.58888888888888,-59.871998433838,80.626998061938,-64.8059991225,67.6159991225
2018-01,,41.84499929494,0.5,,64.1375,-30.575498977177,72.420498272117,-33.161499506,33.661499506
2018-02,,164.96999708488,152.37499735,,43.82222222222222,102.54249838455999,62.427498700319994,117.747497831,34.627499519000004
2018-03,,103.35499708617,57.3199997,,83.47777777777777,2.590999413332,100.763997672838,-17.83149932900001,75.15149902900001
2018-04,,80.48499834418,91.88999789,,90.26666666666668,-25.45799912322599,105.94299746740599,-8.322500603500004,100.21249849350001
2018-05,,84.94999851399,55.18999938,,111.85555555555555,-29.407498934966,114.357497448956,-42.42699902849999,97.6169984085
2018-06,,157.09999610865,204.819997345,,95.38888888888889,42.92699871047401,114.172997398176,86.5409994383,118.27899790669998
2018-07,,147.97999732539,108.47499824,,94.87777777777778,19.536500416297002,128.443496909093,-11.0074997774,119.4824980174
2018-08,67.2,104.79999758684,89.02999832,-6.810000000000002,74.01,9.544499842547012,95.255497744293,5.052999878600005,83.9769984414
2018-09,100.0,105.2649970967,88.37999849,22.289999999999992,77.71000000000001,30.91999899945199,74.34499809724801,19.439999649200004,68.9399988408
2018-10,50.7,61.25999891508,43.7449993,-29.239999999999995,79.94,-20.115499251917008,81.375498166997,-27.410999429,71.155998729
