fecha,estacion_mm,imerg_mm,cmorph_mm
2015-08-15,0.0,1.21499996715,0.60499996
2015-08-16,0.0,0.0,0.0
2015-08-17,12.6,0.01999999955,1.5650000000000002
2015-08-18,31.6,1.70999997284,3.445
2015-08-19,8.2,17.56999962259,9.989999755
2015-08-20,0.0,0.024999999489999997,0.0
2015-08-21,0.0,0.0,0.0
2015-08-22,0.0,0.014999999689999998,0.035
2015-08-23,0.0,1.4249999699,0.50499999
2015-08-24,0.0,0.0,0.0
2015-08-25,0.0,0.0,0.0
2015-08-26,0.0,0.0,0.0
2015-08-27,0.0,0.02999999934,0.0
2015-08-28,0.0,1.620000005,0.31
2015-08-29,0.8,1.19999995866,2.2549999300000003
2015-08-30,0.0,0.0,0.0
2015-08-31,0.0,0.0,0.0
2015-09-01,14.4,9.4949996485,13.13499987
2015-09-02,0.0,2.1599999755,2.7699998
2015-09-03,0.0,0.0,0.0
2015-09-04,0.0,0.174999997,0.0
2015-09-05,16.4,15.7349997525,27.71999967
2015-09-06,0.0,0.0,0.0
2015-09-07,0.0,0.0,0.07
2015-09-08,25.8,17.4799996745,13.0199996
2015-09-09,0.0,4.47999984384,12.33499991
2015-09-10,0.0,2.1399999196499997,1.7699999999999998
2015-09-11,12.2,16.279999643740002,7.3549999
2015-09-12,0.0,0.0,0.0
2015-09-13,0.0,0.0,0.0
2015-09-14,0.0,0.0,0.0
2015-09-15,0.0,0.0,0.0
2015-09-16,0.0,0.0,0.0
2015-09-17,0.0,0.0,0.0
2015-09-18,18.6,27.33999995465,19.3399999
2015-09-19,31.6,22.8949990925,9.42499984
2015-09-20,0.0,0.0,0.0
2015-09-21,0.0,0.0,0.0
2015-09-22,0.0,0.0,0.0
2015-09-23,0.0,0.0,0.0
2015-09-24,0.0,0.0,0.0
2015-09-25,0.0,0.0,0.0
2015-09-26,0.0,0.00499999989,0.0
2015-09-27,0.0,0.099999994,0.0
2015-09-28,0.0,0.0,0.0
2015-09-29,0.0,0.7949999785999999,0.439999995
2015-09-30,0.0,0.0,0.0
2015-10-01,0.0,0.0,0.0
2015-10-02,0.0,0.0,0.0
2015-10-03,0.0,0.3849999905,0.074999995
2015-10-04,0.0,0.0,0.0
2015-10-05,0.0,0.0,0.0
2015-10-06,0.0,0.00499999989,0.0
2015-10-07,0.0,0.0,0.0
2015-10-08,0.0,0.2149999885,0.0
2015-10-09,1.1,1.229999989,0.0
2015-10-10,0.0,0.0,0.0
2015-10-11,0.0,0.0,0.0
2015-10-12,0.0,0.599999994,1.6499999500000002
2015-10-13,0.0,0.0,0.0
2015-10-14,0.0,0.0,0.0
2015-10-15,0.0,0.0,0.0
2015-10-16,0.0,0.0,0.0
2015-10-17,0.0,0.0,0.0
2015-10-18,0.0,0.0,0.0
2015-10-19,0.0,0.0,0.0
2015-10-20,0.0,0.0,0.0
2015-10-21,0.0,0.0,0.0
2015-10-22,0.0,0.0,0.0
2015-10-23,0.0,1.0449999863000001,1.1400000000000001
2015-10-24,0.2,0.139999993,0.0
2015-10-25,0.0,0.0,0.0
2015-10-26,0.0,0.0,0.0
2015-10-27,12.0,6.8649997906,3.214999925
2015-10-28,10.6,7.4249998725,9.76999985
2015-10-29,0.0,0.01999999955,0.0
2015-10-30,0.0,0.0,0.0
2015-10-31,7.9,10.29999974934,9.33999979
2015-11-01,0.0,0.199999988,0.0
2015-11-02,0.0,0.0,0.0
2015-11-03,0.3,0.0,0.0
2015-11-04,0.0,0.0,0.0
2015-11-05,1.1,2.1799999543,4.49999988
2015-11-06,1.3,11.009999826,14.26999953
2015-11-07,0.0,0.8549999931500001,0.0
2015-11-08,0.0,0.0,0.0
2015-11-09,0.0,0.0,0.0
2015-11-10,0.0,0.0,0.0
2015-11-11,0.0,0.0,0.0
2015-11-12,2.7,4.0599999570000005,11.30499985
2015-11-13,0.0,0.0,0.0
2015-11-14,0.0,0.0,0.0
2015-11-15,0.0,0.0,0.0
2015-11-16,4.3,8.82499979,5.99
2015-11-17,33.4,33.3999992195,27.37999981
2015-11-18,25.4,40.8199992038,18.24499992
2015-11-19,0.0,0.16499999515,0.0
2015-11-20,0.0,0.0099999998,0.0
2015-11-21,16.6,7.81999982677,0.0
2015-11-22,0.3,0.0,0.0
2015-11-23,0.0,0.0,0.0
2015-11-24,0.0,0.0,0.0
2015-11-25,0.5,0.0,0.0
2015-11-26,1.0,0.449999982,0.0
2015-11-27,26.6,31.7399993296,37.85499978
2015-11-28,3.1,3.9149999297100004,0.0
2015-11-29,0.0,1.0799999621,0.0
2015-11-30,4.9,0.494999987,0.0
2015-12-01,2.4,0.14499999679,0.0
2015-12-02,0.8,0.0,0.0
2015-12-03,0.0,0.0,0.0
2015-12-04,0.0,0.0,0.0
2015-12-05,0.0,0.0,0.0
2015-12-06,0.9,0.140000001,5.0
2015-12-07,0.7,0.11999999928,0.0
2015-12-08,0.0,0.155000001,0.0
2015-12-09,0.0,0.0099999998,0.0
2015-12-10,0.0,0.07999999915,0.355
2015-12-11,0.0,0.0,0.0
2015-12-12,0.0,0.0,0.0
2015-12-13,9.2,33.73499926289,46.11999978
2015-12-14,12.8,18.7399995999,17.92999994
2015-12-15,0.0,0.0,0.0
2015-12-16,0.3,0.55999997665,0.0
2015-12-17,0.0,0.0,0.0
2015-12-18,0.0,0.00499999989,0.0
2015-12-19,0.0,0.0,0.0
2015-12-20,0.0,0.0,0.0
2015-12-21,22.2,19.319999552789998,2.145
2015-12-22,0.0,0.17499999705,0.0
2015-12-23,16.8,22.379999022,31.78999925
2015-12-24,0.0,0.054999998790000004,0.0
2015-12-25,0.0,0.07499999904,0.0
2015-12-26,39.9,43.12999866369,53.4349994
2015-12-27,28.1,34.32999949654,29.809999864999998
2015-12-28,38.2,51.259999080600004,31.79499925
2015-12-29,1.7000000000000002,0.59499999219,0.0
2015-12-30,0.0,0.0,0.0
2015-12-31,0.0,0.0,0.0
2016-01-01,0.0,0.0,0.0
2016-01-02,0.0,0.0,0.0
2016-01-03,0.0,0.0,0.0
2016-01-04,0.0,0.0,0.0
2016-01-05,0.0,0.0,0.0
2016-01-06,0.0,0.565,0.0
2016-01-07,0.0,0.08999999515,0.0
2016-01-08,3.6,6.8149998197,3.394999885
2016-01-09,11.1,10.4199997489,13.09
2016-01-10,0.0,0.1850000025,0.0
2016-01-11,0.0,0.0,0.0
2016-01-12,0.3,0.0,0.0
2016-01-13,0.0,0.1099999995,0.0
2016-01-14,0.0,0.0,0.0
2016-01-15,4.6,2.8799999155,10.0
2016-01-16,0.0,0.0,0.0
2016-01-17,0.7,0.07999999539,0.0
2016-01-18,0.0,0.0,0.0
2016-01-19,0.0,0.0,0.0
2016-01-20,6.9,1.414999954,0.0
2016-01-21,0.0,1.62499996265,0.0
2016-01-22,0.0,0.7299999793,0.0
2016-01-23,0.0,0.0,0.0
2016-01-24,0.0,3.00999988515,0.0
